Date,Source,Counterparty,Category,Amount,Bucket/Type,Flag
2026-05-26,Mercury,Indico Thread Consulting,Uncategorized,-4000.00,Operating Expense,
2026-05-22,Mercury,"SUN HING FOODS, INC",COGS,-3200.00,Operating Expense,
2026-05-22,Mercury,"SUN HING FOODS, INC",COGS,-2225.00,Operating Expense,
2026-05-05,Mercury,"SUN HING FOODS, INC",COGS,-1287.50,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-1100.00,Operating Expense,
2026-05-22,Mercury,"SUN HING FOODS, INC",COGS,-975.00,Operating Expense,
2026-05-22,Mercury,"SUN HING FOODS, INC",COGS,-975.00,Operating Expense,
2026-05-08,Mercury,"SUN HING FOODS, INC",COGS,-975.00,Operating Expense,
2026-05-23,Ramp,Alaska Airlines,Airlines,-801.60,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-700.00,Operating Expense,
2026-05-30,Ramp,Turo,Car Rental,-618.05,Operating Expense,
2026-05-29,Ramp,Gearheart Industry,General Merchandise,-612.69,Operating Expense,
2026-05-26,Ramp,Airbnb,Lodging,-586.37,Operating Expense,
2026-05-26,Mercury,VPR Public Relations and Marketing INC,Marketing & Advertising,-500.00,Operating Expense,
2026-05-12,Mercury,Ashley Loga,Uncategorized,-458.00,Operating Expense,
2026-05-16,Mercury,Boot Barn,Clothing,-452.55,Operating Expense,
2026-05-18,Mercury,Harrison Goldfarb,Travel & Transportation,-398.08,Operating Expense,
2026-05-18,Mercury,Harrison Goldfarb,Travel & Transportation,-380.47,Operating Expense,
2026-05-26,Ramp,United,Airlines,-346.80,Operating Expense,
2026-05-27,Ramp,Enterprise,Car Rental,-302.18,Operating Expense,
2026-05-07,Mercury,Imprint Events Group,Marketing & Advertising,-250.00,Operating Expense,
2026-05-20,Mercury,"All FREIGHT TRUCKING, INC",Uncategorized,-246.00,Operating Expense,
2026-05-21,Ramp,Etsy,General Merchandise,-199.75,Operating Expense,
2026-05-25,Ramp,Amazon,General Merchandise,-178.84,Operating Expense,
2026-05-25,Ramp,Wrap Caviar,Professional Services,-167.01,Operating Expense,
2026-05-28,Ramp,KazuNori,Restaurants,-135.59,Operating Expense,
2026-05-31,Ramp,ARCO,Fuel and Gas,-125.95,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-125.00,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-125.00,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-125.00,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-125.00,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-125.00,Operating Expense,
2026-05-12,Mercury,Coy's Produce Co,COGS,-125.00,Operating Expense,
2026-05-06,Mercury,TESLA MOTORS,Travel & Transportation,-106.67,Operating Expense,
2026-05-25,Ramp,Amazon,General Merchandise,-103.38,Operating Expense,
2026-05-18,Mercury,Sinclair Oil,FuelAndGas,-102.56,Operating Expense,
2026-05-12,Mercury,Coy's Produce Co,COGS,-100.00,Operating Expense,
2026-05-21,Ramp,Etsy,General Merchandise,-98.78,Operating Expense,
2026-05-26,Ramp,Airbnb,Lodging,-97.21,Operating Expense,
2026-05-16,Mercury,Uniqlo,Clothing,-96.86,Operating Expense,
2026-05-26,Ramp,Amazon,General Merchandise,-93.06,Operating Expense,
2026-05-25,Ramp,Amazon,General Merchandise,-91.67,Operating Expense,
2026-05-25,Ramp,Amazon,General Merchandise,-91.08,Operating Expense,
2026-05-27,Ramp,Amplify,Fuel and Gas,-90.48,Operating Expense,
2026-05-15,Mercury,Coy's Produce Co,COGS,-84.50,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-77.55,Operating Expense,
2026-05-27,Mercury,KLARNA,Uncategorized,-74.22,Operating Expense,
2026-05-26,Ramp,Amazon,General Merchandise,-71.63,Operating Expense,
2026-05-20,Ramp,Amazon,General Merchandise,-71.63,Operating Expense,
2026-05-19,Mercury,Pipedrive,Software,-69.00,Operating Expense,
2026-05-15,Mercury,Hiscox,Insurance,-66.92,Operating Expense,
2026-05-30,Ramp,Doordash,Restaurants,-60.08,Operating Expense,
2026-05-16,Ramp,Stars & Stripes Car Wash,Car services,-56.37,Operating Expense,
2026-05-02,Mercury,Amazon,Retail,-51.68,Operating Expense,
2026-05-03,Mercury,Shellback Tavern,AlcoholAndBars,-50.89,Operating Expense,
2026-05-02,Mercury,Squarespace,Software,-50.40,Operating Expense,
2026-05-31,Ramp,United,Airlines,-50.00,Operating Expense,
2026-05-31,Ramp,Aracely Cafe,Restaurants,-45.26,Operating Expense,
2026-05-03,Mercury,Beachlife Festival,ProfessionalServices,-44.37,Operating Expense,
2026-05-27,Ramp,Stars & Stripes Car Wash,Car services,-43.49,Operating Expense,
2026-05-29,Mercury,Amazon,Retail,-43.45,Operating Expense,
2026-05-22,Mercury,Amazon,Retail,-43.09,Operating Expense,
2026-05-19,Ramp,Descanso Beach Club,Restaurants,-41.18,Operating Expense,
2026-05-30,Mercury,Amazon,Retail,-40.92,Operating Expense,
